v1	I(R1)
Step Information: Vg=-3  (Run: 1/8)
0.000000000000000e+000	3.563240e-012
1.000000000000000e-001	7.473479e-005
2.000000000000000e-001	1.287890e-004
3.000000000000000e-001	1.621245e-004
4.000000000000000e-001	1.747031e-004
5.000000000000000e-001	1.748494e-004
6.000000000000000e-001	1.748843e-004
7.000000000000000e-001	1.749192e-004
7.999999999999999e-001	1.749541e-004
8.999999999999999e-001	1.749890e-004
9.999999999999999e-001	1.750239e-004
1.100000000000000e+000	1.750588e-004
1.200000000000000e+000	1.750938e-004
1.300000000000000e+000	1.751287e-004
1.400000000000000e+000	1.751636e-004
1.500000000000000e+000	1.751985e-004
1.600000000000000e+000	1.752334e-004
1.700000000000000e+000	1.752683e-004
1.800000000000001e+000	1.753032e-004
1.900000000000001e+000	1.753381e-004
2.000000000000000e+000	1.753730e-004
2.100000000000001e+000	1.754079e-004
2.200000000000001e+000	1.754428e-004
2.300000000000001e+000	1.754777e-004
2.400000000000001e+000	1.755126e-004
2.500000000000001e+000	1.755475e-004
2.600000000000001e+000	1.755824e-004
2.700000000000001e+000	1.756173e-004
2.800000000000001e+000	1.756522e-004
2.900000000000001e+000	1.756871e-004
3.000000000000001e+000	1.757220e-004
3.100000000000001e+000	1.757570e-004
3.200000000000002e+000	1.757919e-004
3.300000000000002e+000	1.758268e-004
3.400000000000002e+000	1.758617e-004
3.500000000000002e+000	1.758966e-004
3.600000000000002e+000	1.759315e-004
3.700000000000002e+000	1.759664e-004
3.800000000000002e+000	1.760013e-004
3.900000000000002e+000	1.760362e-004
4.000000000000002e+000	1.760711e-004
4.100000000000001e+000	1.761060e-004
4.200000000000001e+000	1.761409e-004
4.300000000000001e+000	1.761758e-004
4.400000000000000e+000	1.762107e-004
4.500000000000000e+000	1.762456e-004
4.600000000000000e+000	1.762805e-004
4.699999999999999e+000	1.763154e-004
4.799999999999999e+000	1.763503e-004
4.899999999999999e+000	1.763852e-004
5.000000000000000e+000	1.764201e-004
Step Information: Vg=-2.5  (Run: 2/8)
0.000000000000000e+000	3.035408e-012
1.000000000000000e-001	1.779787e-004
2.000000000000000e-001	3.354673e-004
3.000000000000000e-001	4.724282e-004
4.000000000000000e-001	5.888238e-004
5.000000000000000e-001	6.846162e-004
6.000000000000000e-001	7.597675e-004
7.000000000000000e-001	8.142398e-004
7.999999999999999e-001	8.479949e-004
8.999999999999999e-001	8.609947e-004
9.999999999999999e-001	8.613092e-004
1.100000000000000e+000	8.614808e-004
1.200000000000000e+000	8.616524e-004
