v1,IR1
Step,Information:,Vg=-3,Run:,1/8
0.000000000000000e+000,3.098339e-012
1.000000000000000e-001,3.199344e-012
2.000000000000000e-001,3.300332e-012
3.000000000000000e-001,3.401279e-012
4.000000000000000e-001,3.502310e-012
5.000000000000000e-001,3.603229e-012
6.000000000000000e-001,3.704148e-012
7.000000000000000e-001,3.805067e-012
7.999999999999999e-001,3.906098e-012
8.999999999999999e-001,4.006906e-012
9.999999999999999e-001,4.107825e-012
1.100000000000000e+000,4.208633e-012
1.200000000000000e+000,4.309664e-012
1.300000000000000e+000,4.410472e-012
1.400000000000000e+000,4.511280e-012
1.500000000000000e+000,4.612311e-012
1.600000000000000e+000,4.712897e-012
1.700000000000000e+000,4.813927e-012
1.800000000000001e+000,4.914513e-012
1.900000000000001e+000,5.015321e-012
2.000000000000000e+000,5.116352e-012
2.100000000000001e+000,5.216716e-012
2.200000000000001e+000,5.317968e-012
2.300000000000001e+000,5.418777e-012
2.400000000000001e+000,5.519141e-012
2.500000000000001e+000,5.619949e-012
2.600000000000001e+000,5.720757e-012
2.700000000000001e+000,5.822010e-012
2.800000000000001e+000,5.922374e-012
2.900000000000001e+000,6.023182e-012
3.000000000000001e+000,6.123990e-012
3.100000000000001e+000,6.224354e-012
3.200000000000002e+000,6.325607e-012
3.300000000000002e+000,6.425971e-012
3.400000000000002e+000,6.526779e-012
3.500000000000002e+000,6.627143e-012
3.600000000000002e+000,6.727952e-012
3.700000000000002e+000,6.829204e-012
3.800000000000002e+000,6.929568e-012
3.900000000000002e+000,7.029932e-012
4.000000000000002e+000,7.130740e-012
4.100000000000001e+000,7.231549e-012
4.200000000000001e+000,7.332801e-012
4.300000000000001e+000,7.433165e-012
4.400000000000000e+000,7.532641e-012
4.500000000000000e+000,7.634782e-012
4.600000000000000e+000,7.735146e-012
4.699999999999999e+000,7.835510e-012
4.799999999999999e+000,7.936762e-012
4.899999999999999e+000,8.036238e-012
5.000000000000000e+000,8.137491e-012
