v1	V(n001)/I(R1)
Step Information: Vg=-3  (Run: 1/8)
0.000000000000000e+000	-1.000000e+000
1.000000000000000e-001	1.337065e+003
2.000000000000000e-001	1.551928e+003
3.000000000000000e-001	1.849429e+003
4.000000000000000e-001	2.288599e+003
5.000000000000000e-001	2.858604e+003
6.000000000000000e-001	3.429839e+003
7.000000000000000e-001	4.000847e+003
7.999999999999999e-001	4.571627e+003
8.999999999999999e-001	5.142180e+003
9.999999999999999e-001	5.712504e+003
1.100000000000000e+000	6.282601e+003
1.200000000000000e+000	6.852471e+003
1.300000000000000e+000	7.422114e+003
1.400000000000000e+000	7.991530e+003
1.500000000000000e+000	8.560719e+003
1.600000000000000e+000	9.129681e+003
1.700000000000000e+000	9.698416e+003
1.800000000000001e+000	1.026693e+004
1.900000000000001e+000	1.083521e+004
2.000000000000000e+000	1.140326e+004
2.100000000000001e+000	1.197110e+004
2.200000000000001e+000	1.253870e+004
2.300000000000001e+000	1.310608e+004
2.400000000000001e+000	1.367323e+004
2.500000000000001e+000	1.424016e+004
2.600000000000001e+000	1.480686e+004
2.700000000000001e+000	1.537334e+004
2.800000000000001e+000	1.593959e+004
2.900000000000001e+000	1.650562e+004
3.000000000000001e+000	1.707142e+004
3.100000000000001e+000	1.763699e+004
3.200000000000002e+000	1.820235e+004
3.300000000000002e+000	1.876747e+004
3.400000000000002e+000	1.933238e+004
3.500000000000002e+000	1.989706e+004
3.600000000000002e+000	2.046151e+004
3.700000000000002e+000	2.102575e+004
3.800000000000002e+000	2.158975e+004
3.900000000000002e+000	2.215353e+004
4.000000000000002e+000	2.271710e+004
4.100000000000001e+000	2.328043e+004
4.200000000000001e+000	2.384355e+004
4.300000000000001e+000	2.440644e+004
4.400000000000000e+000	2.496910e+004
4.500000000000000e+000	2.553155e+004
4.600000000000000e+000	2.609377e+004
4.699999999999999e+000	2.665577e+004
4.799999999999999e+000	2.721755e+004
4.899999999999999e+000	2.777910e+004
5.000000000000000e+000	2.834043e+004
Step Information: Vg=-2.5  (Run: 2/8)
0.000000000000000e+000	-1.000000e+000
1.000000000000000e-001	5.608650e+002
2.000000000000000e-001	5.951833e+002
3.000000000000000e-001	6.340171e+002
4.000000000000000e-001	6.783204e+002
5.000000000000000e-001	7.293363e+002
6.000000000000000e-001	7.887153e+002
7.000000000000000e-001	8.586976e+002
7.999999999999999e-001	9.424019e+002
8.999999999999999e-001	1.044303e+003
9.999999999999999e-001	1.160023e+003
1.100000000000000e+000	1.275871e+003
1.200000000000000e+000	1.391673e+003
1.300000000000000e+000	1.507429e+003
1.400000000000000e+000	1.623138e+003
1.500000000000000e+000	1.738802e+003
1.600000000000000e+000	1.854419e+003
1.700000000000000e+000	1.969991e+003
1.800000000000001e+000	2.085516e+003
1.900000000000001e+000	2.200996e+003
2.000000000000000e+000	2.316430e+003
2.100000000000001e+000	2.431817e+003
2.200000000000001e+000	2.547159e+003
2.300000000000001e+000	2.662455e+003
2.400000000000001e+000	2.777706e+003
2.500000000000001e+000	2.892910e+003
2.600000000000001e+000	3.008069e+003
2.700000000000001e+000	3.123182e+003
2.800000000000001e+000	3.238249e+003
2.900000000000001e+000	3.353270e+003
3.000000000000001e+000	3.468247e+003
3.100000000000001e+000	3.583177e+003
3.200000000000002e+000	3.698062e+003
3.300000000000002e+000	3.812901e+003
3.400000000000002e+000	3.927695e+003
3.500000000000002e+000	4.042443e+003
3.600000000000002e+000	4.157145e+003
3.700000000000002e+000	4.271802e+003
3.800000000000002e+000	4.386414e+003
3.900000000000002e+000	4.500981e+003
4.000000000000002e+000	4.615502e+003
4.100000000000001e+000	4.729977e+003
4.200000000000001e+000	4.844408e+003
4.300000000000001e+000	4.958792e+003
4.400000000000000e+000	5.073132e+003
4.500000000000000e+000	5.187427e+003
4.600000000000000e+000	5.301676e+003
4.699999999999999e+000	5.415881e+003
4.799999999999999e+000	5.530040e+003
4.899999999999999e+000	5.644153e+003
5.000000000000000e+000	5.758222e+003
Step Information: Vg=-2  (Run: 3/8)
0.000000000000000e+000	-1.000000e+000
1.000000000000000e-001	3.554003e+002
2.000000000000000e-001	3.687782e+002
3.000000000000000e-001	3.832178e+002
4.000000000000000e-001	3.988507e+002
5.000000000000000e-001	4.158312e+002
6.000000000000000e-001	4.343415e+002
7.000000000000000e-001	4.545979e+002
7.999999999999999e-001	4.768600e+002
8.999999999999999e-001	5.014409e+002
9.999999999999999e-001	5.287229e+002
1.100000000000000e+000	5.591773e+002
1.200000000000000e+000	5.933913e+002
1.300000000000000e+000	6.321072e+002
1.400000000000000e+000	6.762759e+002
1.500000000000000e+000	7.244356e+002
1.600000000000000e+000	7.726441e+002
1.700000000000000e+000	8.208335e+002
1.800000000000001e+000	8.690038e+002
1.900000000000001e+000	9.171548e+002
2.000000000000000e+000	9.652868e+002
2.100000000000001e+000	1.013400e+003
2.200000000000001e+000	1.061493e+003
2.300000000000001e+000	1.109568e+003
2.400000000000001e+000	1.157624e+003
2.500000000000001e+000	1.205660e+003
2.600000000000001e+000	1.253678e+003
2.700000000000001e+000	1.301676e+003
2.800000000000001e+000	1.349655e+003
2.900000000000001e+000	1.397616e+003
3.000000000000001e+000	1.445557e+003
3.100000000000001e+000	1.493479e+003
3.200000000000002e+000	1.541383e+003
3.300000000000002e+000	1.589267e+003
3.400000000000002e+000	1.637133e+003
3.500000000000002e+000	1.684979e+003
3.600000000000002e+000	1.732806e+003
3.700000000000002e+000	1.780615e+003
3.800000000000002e+000	1.828405e+003
3.900000000000002e+000	1.876175e+003
4.000000000000002e+000	1.923927e+003
4.100000000000001e+000	1.971660e+003
4.200000000000001e+000	2.019374e+003
4.300000000000001e+000	2.067069e+003
4.400000000000000e+000	2.114745e+003
4.500000000000000e+000	2.162403e+003
4.600000000000000e+000	2.210042e+003
4.699999999999999e+000	2.257662e+003
4.799999999999999e+000	2.305263e+003
4.899999999999999e+000	2.352845e+003
5.000000000000000e+000	2.400408e+003
Step Information: Vg=-1.5  (Run: 4/8)
0.000000000000000e+000	-1.000000e+000
1.000000000000000e-001	2.604004e+002
2.000000000000000e-001	2.674587e+002
3.000000000000000e-001	2.749180e+002
4.000000000000000e-001	2.828135e+002
5.000000000000000e-001	2.911846e+002
6.000000000000000e-001	3.000756e+002
7.000000000000000e-001	3.095365e+002
7.999999999999999e-001	3.196239e+002
8.999999999999999e-001	3.304023e+002
9.999999999999999e-001	3.419449e+002
1.100000000000000e+000	3.543363e+002
1.200000000000000e+000	3.676736e+002
1.300000000000000e+000	3.820693e+002
1.400000000000000e+000	3.976547e+002
1.500000000000000e+000	4.145836e+002
1.600000000000000e+000	4.330376e+002
1.700000000000000e+000	4.532326e+002
1.800000000000001e+000	4.754269e+002
1.900000000000001e+000	4.999331e+002
2.000000000000000e+000	5.261487e+002
2.100000000000001e+000	5.523963e+002
2.200000000000001e+000	5.786335e+002
2.300000000000001e+000	6.048604e+002
2.400000000000001e+000	6.310768e+002
2.500000000000001e+000	6.572828e+002
2.600000000000001e+000	6.834784e+002
2.700000000000001e+000	7.096637e+002
2.800000000000001e+000	7.358386e+002
